1556200192.169419 GLOBAL_POSITION_INT {time_boot_ms : 15596655, lat : 535040270, lon : 492214338, alt : 53480, relative_alt : 106, vx : -12, vy : -8, vz : 2, hdg : 19915}
1556200199.166392 GLOBAL_POSITION_INT {time_boot_ms : 15603655, lat : 535040202, lon : 492214260, alt : 53290, relative_alt : -29, vx : -10, vy : -3, vz : 1, hdg : 19973}
1556200207.167968 GLOBAL_POSITION_INT {time_boot_ms : 15611655, lat : 535040137, lon : 492214212, alt : 53270, relative_alt : -34, vx : -8, vy : -2, vz : 1, hdg : 20002}
1556200215.167214 GLOBAL_POSITION_INT {time_boot_ms : 15619655, lat : 535040094, lon : 492214198, alt : 53500, relative_alt : 244, vx : -4, vy : 2, vz : -6, hdg : 19937}
1556200223.166907 GLOBAL_POSITION_INT {time_boot_ms : 15627656, lat : 535040059, lon : 492214201, alt : 53440, relative_alt : -25, vx : -5, vy : 1, vz : -2, hdg : 19341}
1556200230.165491 GLOBAL_POSITION_INT {time_boot_ms : 15634656, lat : 535040037, lon : 492214217, alt : 53230, relative_alt : 30, vx : -4, vy : 1, vz : 0, hdg : 18494}
1556200238.162788 GLOBAL_POSITION_INT {time_boot_ms : 15642655, lat : 535040016, lon : 492214231, alt : 53320, relative_alt : 128, vx : -4, vy : 2, vz : -2, hdg : 17509}
1556200246.164017 GLOBAL_POSITION_INT {time_boot_ms : 15650656, lat : 535040008, lon : 492214251, alt : 53470, relative_alt : 277, vx : -2, vy : 2, vz : -2, hdg : 16680}
1556200253.163396 GLOBAL_POSITION_INT {time_boot_ms : 15657656, lat : 535040022, lon : 492214278, alt : 53300, relative_alt : 105, vx : -2, vy : 4, vz : -5, hdg : 16168}
1556200261.162542 GLOBAL_POSITION_INT {time_boot_ms : 15665656, lat : 535040043, lon : 492214307, alt : 53360, relative_alt : 37, vx : -1, vy : 2, vz : -1, hdg : 15795}
